"Age Range","Sex","Cohort","TLE","HapLE","HapLE%","UnHapLE","UnHapLE%"
"80-85","Women","Diff.","0.09 (-0.13, 0.32)","0.68 (0.31, 1.05)***","12.7 (6.2, 19.2)***","-0.59 (-0.91, -0.27)***","-12.7 (-19.2, -6.2)***"
"86-91","Overall","Earlier","4.03 (3.93, 4.13)","2.43 (2.28, 2.57)","60.2 (57.0, 63.4)","1.61 (1.47, 1.74)","39.8 (36.6, 43.0)"
"86-91","Overall","Later","4.25 (4.11, 4.38)","2.90 (2.71, 3.10)","68.4 (64.6, 72.2)","1.34 (1.18, 1.50)","31.6 (27.8, 35.4)"
"86-91","Overall","Diff.","0.21 (0.05, 0.38)*","0.48 (0.23, 0.72)***","8.2 (3.2, 13.2)**","-0.26 (-0.47, -0.05)*","-8.2 (-13.2, -3.2)**"
"86-91","Men","Earlier","3.79 (3.67, 3.92)","2.30 (2.12, 2.48)","60.6 (56.2, 64.9)","1.50 (1.32, 1.67)","39.4 (35.1, 43.8)"
"86-91","Men","Later","3.99 (3.81, 4.17)","2.73 (2.49, 2.96)","68.3 (63.5, 73.1)","1.27 (1.07, 1.46)","31.7 (26.9, 36.5)"
"86-91","Men","Diff.","0.20 (-0.02, 0.42)","0.43 (0.13, 0.73)**","7.7 (1.2, 14.2)*","-0.23 (-0.49, 0.03)","-7.7 (-14.2, -1.2)*"
"86-91","Women","Earlier","4.17 (4.05, 4.30)","2.49 (2.29, 2.69)","59.6 (55.3, 63.9)","1.68 (1.50, 1.87)","40.4 (36.1, 44.7)"
"86-91","Women","Later","4.39 (4.23, 4.56)","3.01 (2.75, 3.26)","68.4 (63.3, 73.5)","1.39 (1.16, 1.61)","31.6 (26.5, 36.7)"
"86-91","Women","Diff.","0.22 (0.01, 0.43)*","0.52 (0.19, 0.84)**","8.8 (2.1, 15.4)**","-0.30 (-0.58, -0.01)*","-8.8 (-15.4, -2.1)**"
